steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	G_reink	G_taxed	ppop0	G_steink0	G_steink_halb	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1961.5	"AI"			1081	11266	.2965935		.2893822	0	.2965935	.2965935	6.020808	6.106956	6.221761	6.479385	6.625045	6.784381	7.175385	7.705281	8.456902	9.537231	10.30261	11.34664	14.73287	19.46883	21.42289	28.03593	41.20712	56.76503		195.962		10.42183	1081
1963.5	"AI"			1162	14136	.3054143		.2982916	0	.3054143	.3054143	6.083661	6.439365	6.937367	7.345059	7.552961	7.781723	8.306108	8.961185	9.807805	11.16417	12.07485	13.34959	17.21991	23.34167	28.03582	36.02034	44.81604	70.8575	95.86385			12.16523	1162
1965.5	"AI"			1067	16815	.3352344		.3265673	0	.3352344	.3352344	7.221447	8.04075	8.314554	8.943735	9.24918	9.575074	10.31656	11.22286	12.46498	14.34615	15.56894	17.09267	22.31476	33.12371	37.18547	46.54101	69.09007	111.8609	138.5718	197.3271		15.75914	1067
1967.5	"AI"			1637	24942.7	.314908		.3070327	0	.314908	.314908	7.203465	8.041324	8.297969	8.885776	9.269881	9.580817	10.38464	11.29588	12.36824	13.8381	14.83455	16.47321	22.26775	29.44061	34.3314	39.85612	53.05712	83.05425				15.23684	1637
1969.5	"AI"			2295	35189.4	.2968616		.2902626	0	.2968616	.2968616	7.208755	8.059294	8.390054	9.204708	9.558679	10.03951	10.74221	11.74201	12.86932	14.56934	15.74347	17.14493	23.87491	32.56942	36.30725	40.37443	48.16374	76.60719	106.3518	192.8392		15.33307	2295
1971.5	"AI"			2148	39562.1	.2840778		.2769647	0	.2840778	.2840778	9.233036	10.09021	10.45097	11.30803	11.69451	12.20036	13.19014	14.31153	15.67384	17.5416	19.03427	20.53743	27.84445	37.67489	41.57725	48.27691	58.57565	80.7798	127.5307			18.41811	2148
1973.5	"AI"			2687	56666.5	.3203887		.3103769	0	.3203887	.3203887	9.370804	10.25414	10.77149	12.06057	12.62222	13.25799	14.4232	15.79518	17.55502	19.85851	21.48816	23.6561	31.42676	44.3501	50.11031	57.09048	70.11166	102.2469	153.2049	454.6113		21.08913	2687
1975.5	"AI"			3397	81304.7	.3175342		.3076877	0	.3175342	.3175342	10.07868	10.74709	11.55453	13.24051	14.12272	15.01409	16.8868	18.71856	21.03207	23.70738	25.6621	27.92262	37.54671	49.79264	54.44291	62.06026	75.83392	103.2899	171.0924	338.6752		23.93427	3397
1977.5	"AI"			3739	96734.9	.3166706		.3071102	0	.3166706	.3166706	10.04493	10.8997	12.10528	14.0818	15.09343	16.13679	18.41238	20.73997	23.30377	26.55285	28.57321	31.3789	41.77175	55.48279	59.69442	67.86176	80.12402	115.122	158.3751	315.9807		25.87186	3739
1979.5	"AI"			3979	108927.6	.3190798		.3093785	0	.3190798	.3190798	10.12338	11.22848	12.42283	14.609	15.67333	16.88004	19.43501	22.1804	24.84402	28.34183	30.79294	33.84262	44.32775	58.31684	64.65585	75.14505	85.76572	112.4343	150.3269	334.0351		27.37562	3979
1981.5	"AI"			4162	122854.8	.3294786		.3186016	0	.3294786	.3294786	10.18917	11.53335	12.80073	15.58583	16.83909	18.13516	20.76171	23.37765	26.45007	30.44552	33.06033	36.57784	47.96039	62.85897	68.55047	77.48358	92.64147	126.0001	176.3174	371.9603		29.51821	4162
1983.5	"AI"			4412	134032.4	.3261082	.2941023	.315381	.0002267	.3261082	.3261082	10.59147	11.8455	13.28866	15.8189	17.25911	18.60009	21.55231	24.55933	27.43563	31.43318	34.14371	37.58474	49.89119	66.18536	71.78086	81.96291	98.40544	132.6614	169.8291	312.0066		30.37906	4412
1985.5	"AI"			4631	151992.9	.3301671	.2990705	.319178	.0002159	.3301671	.3301671	11.3146	12.59046	14.10165	17.16405	18.55917	20.08405	23.15856	26.10013	29.7908	34.25109	36.96133	40.37927	53.49022	71.05235	77.93459	87.78427	102.8436	142.0835	191.6912	345.1302		32.82075	4631
