anz_pflichtige	steuerperiode	bemessungsjahre	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
1	1965.5	1963.5	"LU"			4501	72963	.3781055		7.504228	8.177875	8.81591	9.149149	9.477746	10.23165	11.12118	12.20504	13.86633	14.94449	16.73667	24.14131	37.74084	101.4619	16.2104
3	1967.5	1965.5	"LU"			5711	92909.5	.360983		7.562042	8.251912	9.090092	9.415774	9.776851	10.63554	11.59826	12.76692	14.4105	15.48341	17.03962	23.17005	32.65731	88.02457	16.26852
2	1969.5	1967.5	"LU"			7615	135199.1	.3687599		8.003291	8.485501	9.524463	10.09888	10.59298	11.68613	12.77557	14.09482	15.86319	17.12567	18.62959	25.71839	38.01112	98.9117	17.75431
4	1971.5	1969.5	"LU"			8602	192892.4	.3658924		10.10227	10.74603	12.10922	12.65798	13.29604	14.52707	16.04567	17.76184	20.11989	21.64756	23.85415	33.27958	47.47417	124.8481	22.42414
0	1959.5	1957.5	"NE"			2568	25922	.4414113				6.118054	6.329118	6.562807	7.103332	7.733505	8.651126	10.02687	10.72766	11.74438	15.30462	21.78875	72.08569	10.09424
0	1961.5	1959.5	"NE"			7273	57613	.1989966			6.078154	6.434892	6.639167	6.864717	7.214494	7.571765	8.026752	8.535753	8.874922	9.254659	10.4963	12.01467	18.48851	7.921491
0	1963.5	1961.5	"NE"			3186	30220	.4308856					6.335795	7.088316	7.664932	8.319071	9.101786	10.24457	10.911	11.71297	15.32081	22.97549	56.99117	9.485248
0	1965.5	1963.5	"NE"			4844	55265	.4045298				7.343302	8.106607	8.398571	9.077111	9.839487	10.72311	11.95841	12.67316	13.56848	17.13975	23.84622	55.51352	11.40896
0	1967.5	1965.5	"NE"			4736	55993.3	.4096809				7.211617	8.175857	8.513871	9.33688	10.24788	11.38318	12.78723	13.61841	14.67805	18.85133	25.01043	57.02824	11.82291
0	1969.5	1967.5	"NE"			3939	56832	.4570587				7.050069	8.287804	8.882808	10.17505	11.37764	12.78967	14.69783	16.09862	17.83665	24.40349	35.3264	89.55032	14.42803
0	1971.5	1969.5	"NE"			4396	79629.3	.5642995						10.11187	11.78409	13.28528	15.04903	17.32918	19.17016	21.49696	31.20293	46.09533	148.0596	18.11403
0	1959.5	1957.5	"NW"			49	1113	.5487467	6.071589	6.374419	6.794409	7.334477	7.577204	7.845575	8.690659	9.540661	13.18605	16.13753	19.34985	25.88944				22.71428
0	1961.5	1959.5	"NW"			81	1291	.6923621							6.902222	7.436928	8.048036	8.839994	9.906788		44.44445	72.02084		15.93827
0	1963.5	1961.5	"NW"			266	4342	.569658				7.142595	7.287961	7.446634	7.813749	8.230382	8.733062	9.428448	9.898309	12.43083		41.01473	234.4665	16.32331
1	1965.5	1963.5	"NW"			202	5018	.6700916					8.166274	8.689834	9.985121	11.63706	12.93989	14.46111	17.09303	20.11092	32.66851	54.71465	332.7371	24.84158
0	1967.5	1965.5	"NW"			379	5970.7	.5457072					6.603728	8.298496	9.68154	11.20871	12.66693	14.41104	15.35132	17.44738	26.56025	40.10965	97.62714	15.75383
0	1969.5	1967.5	"NW"			477	8744.4	.4962061				7.835862	9.20272	10.1029	11.46093	13.10501	14.62773	17.13425	18.64292	20.64893	30.55935	42.46096	110.8143	18.33208
3	1971.5	1969.5	"NW"			612	16804.8	.5951261				9.783215	11.25272	12.11048	14.03363	15.53453	17.71971	20.50581	22.1677	23.6761	32.95937	47.1768		27.45882
0	1959.5	1957.5	"OW"			27	365	.4989345				6.116887	6.546393	7.091827	8.888889	9.577804	11.18582		15.105	15.76554	41.24317	52.77659		13.51852
0	1961.5	1959.5	"OW"			29	379	.4797561					6.381434	6.885989	8.358449	9.145224	10.37833	14.13091	14.85619		40.14565			13.06897
0	1963.5	1961.5	"OW"			35	601	.3660566			6.229989	8.000001	9.353875	10.11105	11	13.23248	16	22.14332	22.71409	25	29.02122			17.17143
1	1965.5	1963.5	"OW"			103	3139	.6451439			7.43679	8.737864	9.320388	9.98613	10.91791	12.41609		18.09616	21.18507		39.14336	71.84341		30.47573
0	1967.5	1965.5	"OW"			179	2887	.5189177					8.07816	9.107686	10.43362	12.11249	13.66927	15.18209	16.52374	19.17469	29.38753	60.1045	124.3494	16.12849
0	1969.5	1967.5	"OW"			243	4320.9	.4035433				8.753954	9.720036	10.89034	12.76661	14.85187	16.5047	19.30187	21.05343	23.78527	34.55512	43.96588		17.78148
0	1971.5	1969.5	"OW"			355	9118.6	.4073569			9.782113	13.11385	14.3173	15.35532	17.50558	19.69464	22.07074	25.45849	28.20561	31.94325	43.77358	72.95862	131.6026	25.6862
