steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_reink	ppop0	G_reink0	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1993.5	"BE"			378600	2.21e+07	.3217071	.0118067	.3217071	15.73994	19.36335	23.64812	30.64677	33.48828	36.43323	42.22937	48.49791	55.93859	65.00374	70.42754	76.72348	96.34286	119.185	128.1945	140.7416	162.8455					58.43385	378600
1995.5	"BE"	80782	15581	370597	2.18e+07	.3163862	.0095463	.4387306	15.94541	20.45365	24.24475	31.10567	34.09684	36.95461	42.71418	48.99798	56.31435	65.10703	70.37985	76.65842	96.90193	119.8215	128.7062	140.9931	162.6162					58.70677	370597
1997.5	"BE"	92445	17070	366620	2.19e+07	.3117624	.0091882	.4503574	16.35649	21.21847	25.21267	31.77669	34.88532	37.66851	43.57633	50.05854	57.32546	66.24674	71.62407	78.02481	98.37383	121.6343	130.2886	142.3606	163.5358					59.62689	366620
1999.5	"BE"	104561	18136	364218	2.13e+07	.3048395	.0073723	.4598948	16.34453	21.20242	25.21148	31.74302	34.79176	37.46409	43.14088	49.30229	56.42511	65.0537	70.24924	76.50406	95.81757	117.1156	125.1386	136.2704	154.4094	196.3005				58.39363	364218
2001	"BE"	130211	9605	414181	2.67e+07	.3114547	.0104484	.4761451	17.98438	22.73677	27.24228	35.09764	38.00599	41.12572	47.19099	53.85884	61.64444	71.1887	76.91841	83.79196	105.5701	130.662	139.9561	153.3344	175.9558					64.40129	414181
2002	"BE"	135835	9630	420025	2.73e+07	.3110835	.0104883	.4794334	18.0353	22.89773	27.48408	35.3645	38.32868	41.42419	47.53757	54.27763	62.12725	71.76077	77.5976	84.57553	106.6536	131.8183	140.9571	154.2427	176.7847					64.88732	420025
2003	"BE"	138244	8885	424177	2.78e+07	.3139404	.0106735	.482575	18.09966	23.12814	27.78009	35.56002	38.55728	41.6331	47.78299	54.58116	62.44784	72.14595	78.06768	85.28306	107.4913	132.9193	142.1436	155.648	178.1509					65.55903	424177
2004	"BE"	140272	9097	426138	2.80e+07	.3108577	.0107254	.4815245	18.24258	23.27912	27.9747	35.73793	38.77188	41.82183	47.97766	54.80961	62.75787	72.47874	78.48989	85.80114	108.3101	134.0704	143.4042	157.0137	179.098					65.61682	426138
2005	"BE"	141783	9426	426859	2.82e+07	.3125564	.0111582	.483961	18.24941	23.35219	28.07583	35.87716	38.96404	42.00117	48.17865	55.09995	62.97003	72.87253	78.90105	86.25698	109.0947	135.3127	144.8038	158.7957	181.3692					66.07228	426859
2006	"BE"	149063	9756	425677	2.86e+07	.311438	.0117166	.4900216	20.02455	24.0355	28.61642	36.41147	39.69187	42.6554	48.91822	55.97353	64.034	74.10733	80.30624	87.68964	110.9867	137.8053	147.501	162.0175	185.0875					67.1314	425677
2007	"BE"	147461	9888	432027	2.96e+07	.3140119	.0125956	.4885738	20.06898	24.34952	29.14989	37.05695	40.50675	43.46321	49.84364	56.92277	65.32861	75.52177	81.71171	89.29939	113.1081	140.612	150.7822	165.6633	189.1639					68.5815	432027
2008	"BE"	149040	9761	435892	3.04e+07	.3144974	.0133041	.4891627	20.11351	24.56663	29.5104	37.67796	41.13139	44.27265	50.79263	57.94327	66.49426	76.94575	83.33455	91.10647	115.263	143.4121	153.9856	169.0036	192.6899					69.82326	435892
2009	"BE"	148799	9933	440720	3.10e+07	.3136047	.0134856	.486856	20.14805	24.82543	29.78752	38.02869	41.46985	44.66898	51.17746	58.47816	67.13075	77.74504	84.21785	92.03717	116.8149	145.3054	155.8815	170.5358	193.5588					70.37144	440720
2010	"BE"	149641	9936	444507	3.15e+07	.3164389	.0139006	.4885993	20.14337	24.76514	29.78158	38.12225	41.56382	44.78301	51.31154	58.63196	67.35401	78.11306	84.69138	92.64408	117.7942	146.6936	157.3892	172.1602	195.3622					70.88072	444507
