anz_pflichtige	steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
24	1973.5	"BL"			71059	2198050	.3853588		11.01729	12.58412	15.36823	16.54456	17.66117	20.04685	22.47914	25.49021	29.35479	32.09363	35.7088	49.59585	70.21915	165.9832	30.93274
22	1975.5	"BL"			80346	2812130	.3590289	10.08431	11.85726	14.09968	17.72376	19.3909	20.86296	23.82587	26.80553	30.49517	35.05019	37.99439	41.99672	56.64722	77.28102	168.082	35.00025
18	1977.5	"BL"			84398	3162134	.3544854	10.12837	12.15787	14.41192	18.69716	20.65648	22.5205	25.93189	29.54157	33.55639	38.72216	42.09893	46.40425	61.34272	81.35013	169.8762	37.46693
23	1979.5	"BL"			87897	3391264	.357663	10.07235	12.11762	14.44016	19.01372	21.09888	23.02103	26.56759	30.60834	35.00925	40.31797	43.75146	48.31078	64.0151	84.85959	172.2164	38.58224
23	1981.5	"BL"			92553	3766007	.3643107	9.408532	12.11776	14.69114	19.53755	21.77269	24.00192	27.76427	32.07719	37.02625	43.03919	46.87	51.75396	68.67074	90.74997	181.2567	40.69027
27	1983.5	"BL"			96268	4080017	.3659081	7.116397	12.6357	15.38355	20.4211	22.68404	24.88203	28.91398	33.24557	38.19967	44.55167	48.48824	53.69971	71.74165	94.27769	189.9625	42.38186
26	1985.5	"BL"			100634	4528866	.367006	7.537602	13.3225	16.22997	21.4581	23.82707	26.07428	30.7179	35.54506	40.93274	47.63543	51.99337	57.46897	76.67982	100.1996	197.1394	45.00333
1213	1987.5	"BL"			107548	5114158	.3690329	10.08735	13.34665	16.92939	22.6236	25.36817	27.54344	32.22499	37.06005	42.61759	49.64939	54.02815	59.49065	79.26684	104.859		47.55233
1421	1989.5	"BL"			108697	5693746	.3659778		15.41706	20.00304	25.69902	28.20797	30.87011	35.84465	41.08624	47.20686	55.10104	59.8261	65.85593	90.07946	114.7192		52.38181
1792	1991.5	"BL"			111176	6384105	.3637342		16.65261	21.47072	28.2791	31.23115	33.95728	39.30431	45.1288	51.76121	60.35625	65.72624	72.31234	95.3046	125.1253		57.42341
2184	1993.5	"BL"			111244	7126515	.3566039		18.6566	24.45374	32.09333	35.5545	38.5421	44.61367	51.03983	58.37924	67.90305	73.98482	81.44785	106.4963	138		64.06201
9	1961.5	"BS"			74738	1059470	.3828128		6.208956	6.567953	7.300773	7.660163	8.053392	8.863931	9.828605	11.04542	12.70457	13.80702	15.28374	21.23862	31.96697	87.25599	14.17579
5	1963.5	"BS"			85449	1286232	.3887176		6.162648	7.15278	7.994122	8.370771	8.791353	9.66238	10.6847	11.99503	13.80152	15.01393	16.59209	22.91244	33.87171	90.81217	15.05263
9	1965.5	"BS"			85535	1512195	.3754843		7.75668	8.371387	9.300458	9.757331	10.22084	11.20113	12.3424	13.80486	15.82708	17.20837	18.99664	26.37111	39.15931	107.3206	17.67925
